scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,firstKeyMedianMs,firstKeyP95Ms
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,3115,754,1,34,0,780501,779301,32,194
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,2399,589,35,0,0,0,1060857,88,220
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,2438,604,35,0,0,0,779301,89,203
tracked-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,17041,695,1,34,0,780501,779301,60,151
tracked-jyut-warm-reload,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,15783,524,35,0,0,0,1060857,59,122
tracked-jyut-warm-new-page,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,16081,535,35,0,0,0,779301,58,175
tracked-mock-cold,0,luna_pinyin,luna_pinyin,mock-worker-cold,false,652,0,0,0,0,742520,741320,11,11
tracked-mock-warm,0,luna_pinyin,luna_pinyin,mock-worker-warm,false,413,0,0,0,0,742520,741320,28,28
public-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,true,3119,768,1,34,0,780501,779301,103,245
public-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,16872,702,1,34,0,780501,779301,62,140
