file,sha256,bytes
README.md,8ed6b9dcad049f86e12fe057479095b8466c5213f6c69b22dd4b496e73f097ac,16561
analysis/analyze.py,309cb8c6cdc2f840a32c4df0fea533b6923c57d13d423283b2c56cd4589f4b29,48423
analysis/artifact-hash-audit.csv,8e8873e947b477bf82b9a99d49ae8d516bdbf69bc80fece0e88cdf31104719c5,5070
analysis/behavior-gates/commands.txt,0433b7379fbb2ed541422fc668ee03990c95a36fdc374258a0f550ca41aad54d,1130
analysis/behavior-gates/m59-lane-b-product.log,19d4040c915e70c2ac0ac0f5406d4178c4992f5d387f90e5c11e08fe181cef3f,2420
analysis/behavior-gates/m59-luna-long-sentence-page-order.log,91a33934305884c7155e7a245778080a460b33ff957be9a9d11983d960e4896f,392
analysis/behavior-gates/result.txt,31d1335ea1ff4ff6b1664b8afd9864d18f0fd87cf033c106fce0e8a84127a74d,2091
analysis/findings.md,e33c1651b35479c56c1ebd88824562714ac63b9b96cd70995e9728fd71851723,5566
analysis/source-manifest.csv,0ebd99689de6932342cd049a097197000d90e582665f011d8a432eb067fc4acf,11226
analysis/toolchain-packaging-check.txt,58271f39e40a3f7c07d05b586aff4aa32351dad6914dea7bddbd6ab7ee05e13d,569
analysis/track-a-17-row-comparison.csv,7aacd078521f7121888e7f24e5dac7c701c7843838861d01a46036354c03f7e9,8169
analysis/track-a-component-absolute-latency.csv,8569103531298ad444bf5f8b5365b2ffa50a94b40d60d082ea34e3b7de926f06,11533
analysis/track-b-five-observations.csv,37f6d5baee5c78abe3320ac6dd94248d90912ed73c9e6dcaad742345d71c320d,2915
analysis/validation-checks.csv,bac703795ae050ba7afc4d18608ccba5cb7af6863697503d3070b21bd7d58321,1731
finalize_packet_manifest.py,82e08023b272abfcb6d498d51126bb4b38394c185e14aeff7df9074ddd242db0,1022
report/artifact.json,65f645e6570189a5b1afce9d777c95ab61b13026511d5f6e580d3a919a1dc9a5,99065
report/build_report_artifact.py,94b61e28a95f9ee7e134f51e49926153e5e836aaf23fcb20db3b27205026815e,67825
report/mcp-validation.json,dcd6a974a4786b98525983d4faee4002232eba3c2c7b52412ea8b479e8eebdad,427
report/render-receipt.json,6de3c2f56e0423b458073c1e4706e578c20f696343c1b51759c773bf5f138735,897
report/report-source-notes.md,81f414c919447712428d7bff5521bf51dacfc1a8de34118f80be000d6246da41,4073
report/snapshot.sqlite,0b644bad914f7ea1f9ec000a60cec5d9dcf237711bbd3614c3a9a8a3afe64e42,40960
