engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,0,61,61,11271300,183,11122400,11058,61,52,1600,17400,22500,1500,4400,52,0,0,1,1000,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1970900,5260,118,1205300,5798,0,0,4834,118,0,0,2,124,57,348700,1880,1880,282400,0,57,9000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,200000,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,1,61,61,11275500,183,11131100,11058,61,52,1400,16900,21700,1600,1800,52,0,0,1,1000,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1967300,5260,118,1197800,5798,0,0,4834,118,0,0,2,124,57,347700,1880,1880,282800,0,57,9100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,197400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,2,61,61,11266000,183,11120400,11058,61,52,1700,16600,21800,1400,1900,52,0,0,1,900,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1968600,5260,118,1188600,5798,0,0,4834,118,0,0,2,124,57,349300,1880,1880,284200,0,57,8800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,198100,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,3,61,61,11290100,183,11140600,11058,61,52,1200,17300,26700,2000,2100,52,0,0,1,900,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1972700,5260,118,1189200,5798,0,0,4834,118,0,0,2,124,57,352800,1880,1880,286100,0,57,9200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,205200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,4,61,61,11441500,183,11273500,11058,61,52,1300,17200,41800,1300,1900,52,0,0,1,1200,0,1,400,61,0,305,915,4,80,52,10840,0,57,4834,1979800,5260,118,1215100,5798,0,0,4834,118,0,0,2,124,57,361100,1880,1880,290400,0,57,9200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,205800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,5,61,61,11550200,183,11381300,11058,61,52,1600,17500,41700,1600,1900,52,0,0,1,1900,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,1988500,5260,118,1250000,5798,0,0,4834,118,0,0,2,124,57,359600,1880,1880,288400,0,57,9200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,206800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,6,61,61,11506700,183,11337100,11058,61,52,1100,17200,42000,1400,2400,52,0,0,1,1700,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,1981200,5260,118,1232400,5798,0,0,4834,118,0,0,2,124,57,359900,1880,1880,289900,0,57,9400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,205700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,7,61,61,11592000,183,11413500,11058,61,52,1600,18000,51600,1500,2000,52,0,0,1,1800,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,1978600,5260,118,1271700,5798,0,0,4834,118,0,0,2,124,57,357400,1880,1880,285500,0,57,9200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,204200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,8,61,61,11550900,183,11386400,11058,61,52,1100,18700,35200,1100,1700,52,0,0,1,2200,0,1,300,61,0,305,915,4,80,52,10840,0,57,4834,1970500,5260,118,1223100,5798,0,0,4834,118,0,0,2,124,57,373700,1880,1880,302500,0,57,9800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,206200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,9,61,61,11480500,183,11312100,11058,61,52,1700,17100,41800,1400,2700,52,0,0,1,1600,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1968500,5260,118,1214200,5798,0,0,4834,118,0,0,2,124,57,356300,1880,1880,286000,0,57,8800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,204400,0,0,0,0,0,0
