scenario,input_length,median_ms,p95_ms,max_ms,cadence_gaps,on_time_gaps,verdict
normal-jyutping-47,47,45,46,54,46,46,pass
jyutping-short,3,121,227,227,2,2,pass
jyutping-historical-long-1,28,36,136,243,27,27,pass
jyutping-historical-long-2,52,35,52,109,51,51,pass
typeduck-learned-userdb-prefix,3,98,134,134,2,2,pass
luna-short,3,34,75,75,2,2,pass
luna-37,37,71,206,251,36,36,pass
luna-59,59,89,288,322,58,58,pass
cangjie-short,1,90,90,90,0,0,pass
