scenario,input_length,median_ms,p95_ms,max_ms,cadence_gaps,on_time_gaps,verdict
normal-jyutping-47,47,41,43,44,46,46,pass
jyutping-short,3,37,57,57,2,2,pass
jyutping-historical-long-1,28,49,50,50,27,27,pass
jyutping-historical-long-2,52,45,46,46,51,51,pass
typeduck-learned-userdb-prefix,3,34,42,42,2,2,pass
luna-short,3,32,46,46,2,2,pass
luna-37,37,43,45,45,36,36,pass
luna-59,59,46,62,62,58,58,pass
cangjie-short,1,33,33,33,0,0,pass
