"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","11.700","11.967","11.967","11.967","12107776","14069760"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.450","17.300","17.300","17.300","12140544","14000128"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","178.600","180.162","180.162","180.162","13205504","14118912"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","22852.100","26430.500","26430.500","26430.500","10981376","14000128"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","22105.300","44336.400","44336.400","44336.400","11415552","13926400"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","4072.000","4389.833","4389.833","4389.833","160624640","171814912"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","2977.300","3755.000","3755.000","3755.000","160817152","171814912"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","4403.738","4893.188","4893.188","4893.188","161275904","171814912"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","47112.900","49686.300","49686.300","49686.300","158568448","171814912"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","48144.900","801148.300","801148.300","801148.300","159776768","171814912"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","15241.000","16198.067","16198.067","16198.067","777535488","928350208"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","5065.308","5658.231","5658.231","5658.231","777568256","928350208"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","3754.855","4060.973","4060.973","4060.973","777568256","928350208"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","3465.057","3955.843","3955.843","3955.843","777560064","928350208"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","219919.200","237624.600","237624.600","237624.600","761843712","928350208"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","175424.800","23586971.900","23586971.900","23586971.900","774692864","928350208"
