input,characters,prefixes,candidate_count_exact_prefixes,text_exact_prefixes,text_different_prefixes,comment_exact_prefixes,preedit_exact_prefixes,full_snapshot_exact_prefixes,sum_prefix_yune_librime_ratio_all,sum_prefix_yune_librime_ratio_text_exact,librime_time_share_text_exact_pct,sum_prefix_yune_librime_ratio_text_different,librime_time_share_text_different_pct,yune_faster_prefixes,yune_faster_text_exact_prefixes,final_key_yune_librime_ratio,interpretation_boundary
ceshiyixiachangjushuruxingnengzenyang,37,37,37,19,18,27,2,0,0.444,1.42,18.0,0.23,82.0,12,0,1.713,text hash only; comments and preedit may differ; no full snapshot is exact
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,59,59,59,30,29,52,3,0,0.233,1.204,9.9,0.127,90.1,26,1,1.139,text hash only; comments and preedit may differ; no full snapshot is exact
