"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","11.767","12.700","34.667","34.667","12333056","14180352"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","14.800","17.750","40.000","40.000","12279808","14159872"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","183.675","196.162","205.312","205.312","13266944","14245888"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","31674.400","35508.300","35508.300","35508.300","11137024","14159872"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","31957.000","61429.800","61429.800","61429.800","11542528","14036992"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","50","150","38.100","39.600","40.633","40.633","112009216","163581952"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","50","100","55.500","58.700","78.700","78.700","111947776","163581952"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","50","400","60.737","62.163","62.800","62.800","112451584","163581952"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","24139.800","25780.400","25780.400","25780.400","108404736","163581952"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23754.400","2811816.800","2811816.800","2811816.800","111779840","163581952"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","50","150","7803.067","8259.400","15196.533","15196.533","440594432","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","50","650","2968.731","3058.685","3080.092","3080.092","441446400","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","50","550","1875.564","1984.573","3778.827","3778.827","441442304","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","50","350","1643.714","1715.271","1741.657","1741.657","440786944","504508416"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","167371.000","190828.300","190828.300","190828.300","426831872","504508416"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","142424.800","1009481.300","1009481.300","1009481.300","437104640","504508416"
