# Generated from docs/reports/evidence/m59-canonical-jyutping-reachability-parity/phase-1/canonical-rime-cantonese-capture.json
# Scope: M59 named canonical Jyutping reachability rows only.
[bei]
畀	bei2
比	bei2
被	bei6
鼻	bei6
避	bei6
髀	bei2
碑	bei1
臂	bei3
秘	bei3
祕	bei3
俾	bei2
悲	bei1
備	bei6
卑	bei1
痺	bei3
痹	bei3
陂	bei1
吡	bei2
泌	bei3
賁	bei3
鉍	bei3
轡	bei3
蓖	bei1
毖	bei3
羆	bei1
芘	bei3
夶	bei2
鞴	bei6
媲	bei2
妣	bei2
萆	bei1
匕	bei3
鵯	bei1
琲	bei3
贔	bei6
毘	bei2
鞞	bei2
箅	bei3
秕	bei2
舭	bei2
簰	bei6
犤	bei1
怶	bei3
嬶	bei6
閟	bei3
庳	bei1
椑	bei1
俻	bei6
崥	bei2
沘	bei2
肶	bei2
鞁	bei6
肹	bei3
佊	bei2
疪	bei3
骳	bei6
畁	bei2
偹	bei6
柀	bei2
疕	bei2
詖	bei1
柲	bei3
粃	bei2
絥	bei6
糒	bei6
髲	bei6
枈	bei3
僃	bei6
犕	bei6
渒	bei1
粊	bei3
襣	bei6
聛	bei2
朼	bei2
箆	bei6
貱	bei3
彼	bei2
屄	bei1
鄪	bei3
奰	bei6
毴	bei1
錃	bei1
飶	bei3
藣	bei1
貏	bei2
費	bei3
跛	bei3
庇	bei3
憊	bei6
潷	bei3
篦	bei1
箄	bei6
埤	bei1
毗	bei2
辟	bei6
珌	bei3
裨	bei1
邲	bei3
鎞	bei6
鞸	bei2
嚊	bei6
薜	bei6
㘩	bei6
㢰	bei6
㣁	bei6
㸢	bei6
䑄	bei6
䕗	bei6
䘡	bei6
䩀	bei6
䫁	bei6
𡀠	bei6
㽡	bei1
䍘	bei1
䙓	bei1
䥯	bei1
䥸	bei1
萞	bei1
𦱔	bei1
㿫	bei3
䀣	bei3
䉾	bei3
䊌	bei3
䎵	bei3
䪐	bei3
輩	bei3
𠳓	bei3
㑭	bei2
㗗	bei2
㠲	bei2
䀝	bei2
䃾	bei2
䏢	bei2
䣥	bei2
䯗	bei2
脾	bei2
啤	be1
唄	be6
𠹇	be1

[beingo_phrases]
比我	bei2 ngo5
被我	bei6 ngo5
畀我	bei2 ngo5

[zijiguk]
諮議局	zi1 ji5 guk6
子怡	zi2 ji4
自已	zi6 ji5
旨意	zi2 ji3
之二	zi1 ji6
之以	zi1 ji5
致以	zi3 ji5
致意	zi3 ji3
紫衣	zi2 ji1
恣意	zi3 ji3
之義	zi1 ji6
誌異	zi3 ji6
字兒	zi6 ji4
指意	zi2 ji3
子兒	zi2 ji4
自以	zi6 ji5
字意	zi6 ji3
諮議	zi1 ji5
之意	zi1 ji3
志意	zi3 ji3
知易	zi1 ji6
至意	zi3 ji3
致疑	zi3 ji4
紙衣	zi2 ji1
姊兒	zi2 ji4
旨義	zi2 ji6
緇衣	zi1 ji1
置疑	zi3 ji4
字義	zi6 ji6
指擬	zi2 ji5
知	zi1
只	zi2
衹	zi2
字	zi6
之	zi1
支	zi1
至	zi3
指	zi2
紙	zi2
食	zi6
子	zi2
自	zi6
止	zi2
吱	zi1
仔	zi2
識	zi3
枝	zi1
紫	zi2
置	zi3
芷	zi2
志	zi3
智	zi3
茲	zi1
芝	zi1
致	zi3
治	zi6
誌	zi3
姿	zi1
滋	zi1
緻	zi3
酯	zi2
姊	zi2
俟	zi6
痔	zi6
寺	zi2
飼	zi6
祀	zi6
孜	zi1
祗	zi1
摯	zi3
緇	zi1
肢	zi1
峙	zi6
甾	zi1
呲	zi1
雉	zi6
遲	zi6
梔	zi1
枳	zi2
恣	zi3
笫	zi2
咫	zi2
倁	zi1
卮	zi1
夂	zi2
淄	zi1
眥	zi6
吇	zi2
咨	zi1
豸	zi6
倳	zi3
耔	zi2
觶	zi1
錙	zi1
鷙	zi3
蜘	zi1
菑	zi1
牸	zi6
涘	zi6
釨	zi2
軹	zi2
貲	zi1
椥	zi1
贄	zi3
髭	zi1
嗞	zi1
呰	zi2
嵫	zi1
軽	zi3
姉	zi2
芓	zi2
沚	zi2
乿	zi6
庤	zi6
阯	zi2
潪	zi3
秭	zi2
孳	zi1
疻	zi1
黹	zi2
輊	zi3
荢	zi6
鯔	zi1
茡	zi6
禩	zi6
訨	zi2
輜	zi1
杍	zi2
秪	zi1
恉	zi2
抧	zi2
鈻	zi6
徝	zi3
虸	zi2
啙	zi2
秄	zi2
鋕	zi3
娡	zi3
劧	zi2
憄	zi3
禌	zi1
覗	zi6
稵	zi1
淽	zi2
帋	zi2
栥	zi1
孖	zi1
茋	zi2
胑	zi1
穉	zi6
鎡	zi1
鼒	zi1
矷	zi2
滍	zi3
鰦	zi1
竢	zi6
姕	zi1
祬	zi1
秶	zi1
巵	zi1
搘	zi1
芖	zi6
搱	zi6
胾	zi1
馶	zi1
孶	zi1
胏	zi2
剚	zi3
衼	zi1
崰	zi1
榟	zi2
汦	zi2
螆	zi1
齍	zi1
懥	zi3
訿	zi2
垁	zi6
傂	zi6
鼅	zi1
摨	zi6
鴙	zi6
稺	zi6
懫	zi3
筫	zi3
葘	zi1
梓	zi2
駤	zi3
坁	zi2
椔	zi1
鄑	zi1
秲	zi6
砋	zi2
茊	zi1
孠	zi6
藢	zi2
騺	zi3
釲	zi6
赼	zi1
趦	zi1
湽	zi1
榰	zi1
頿	zi1
秓	zi1
崻	zi6
覟	zi3
頾	zi1
疷	zi1
輺	zi1
鶅	zi1
鍿	zi1
觗	zi3
絼	zi6
紎	zi1
洔	zi2
襧	zi2
址	zi2
旨	zi2
巳	zi6
彘	zi6
眦	zi6
祇	zi2
滓	zi2
籽	zi2
趾	zi2
痣	zi3
躓	zi3
脂	zi1
諮	zi1
資	zi1
嗣	zi6
稚	zi6
質	zi3
氏	zi1
笥	zi6
訾	zi2
齜	zi1
胝	zi1
茈	zi2
觜	zi1
齎	zi1
粢	zi1
兕	zi3
徥	zi6
坻	zi2
厎	zi2
耜	zi6
臸	zi1
寘	zi3
忮	zi3
歭	zi6
袛	zi1
栺	zi1
疧	zi1
伿	zi3
畤	zi2
澬	zi1
伺	zi6
秖	zi2
鈭	zi1
偨	zi1
廌	zi6
茝	zi2
趑	zi1
汥	zi1
砥	zi1
鮨	zi2
茞	zi2
胔	zi6
泲	zi2
窴	zi3
跱	zi6
鈶	zi6
偫	zi6
礩	zi3
泜	zi1
踶	zi6
疐	zi3
蚔	zi6
阤	zi6
骴	zi6
杝	zi2
鶨	zi6
洷	zi3
祉	zi2
璾	zi1
髊	zi6
跮	zi3
蒫	zi1
漬	zi6
謘	zi6
徵	zi2
玆	zi1
扺	zi2
鳷	zi1
騃	zi6
㣥	zi6
㧘	zi6
㨁	zi6
㭒	zi6
㱴	zi6
㸻	zi6
䄺	zi6
䆈	zi6
䇃	zi6
䉜	zi6
䎣	zi6
䕌	zi6
