"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.600","11.833","13.967","13.967","12357632","14094336"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.400","17.100","35.650","35.650","12386304","14200832"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","30","29546.100","45880.600","58853.200","58853.200","11030528","14094336"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","31733.600","58810.600","58810.600","58810.600","11456512","13934592"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","24.000","27.767","33.267","33.267","90525696","127496192"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","49.600","54.750","82.600","82.600","91258880","127496192"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","30","24331.500","27286.000","27686.800","27686.800","87207936","127496192"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","23822.500","2885479.700","2885479.700","2885479.700","90021888","127496192"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","h","80","80","1620.100","1667.100","2058.900","2058.900","440004608","504717312"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","30","30","232709.800","246508.200","247706.800","247706.800","425443328","504717312"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","190179.500","1253333.600","1253333.600","1253333.600","433520640","504717312"
