scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,wasmHeapBytes,peakWasmHeapBytes,wasmMemoryMarkerCount,firstKeyMedianMs,firstKeyP95Ms,firstKeyPeakWasmHeapBytes
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,932,298,0,0,0,5705544,5704344,134217728,134217728,12,28,52,134217728
tracked-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,false,776,281,0,0,0,5705538,5704338,134217728,134217728,12,28,48,134217728
tracked-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,false,771,286,0,0,0,5705544,5704344,134217728,134217728,12,22,65,134217728
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,252,204,0,0,0,0,9012895,134217728,134217728,12,23,55,134217728
tracked-luna-warm-reload,1,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,246,203,0,0,0,0,5985564,134217728,134217728,12,18,82,134217728
tracked-luna-warm-reload,2,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,246,202,0,0,0,0,5985570,134217728,134217728,12,26,60,134217728
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,313,212,0,0,0,0,5704344,134217728,134217728,12,14,39,134217728
tracked-luna-warm-new-page,1,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,331,220,0,0,0,0,5704344,134217728,134217728,12,23,69,134217728
tracked-luna-warm-new-page,2,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,331,220,0,0,0,0,5704344,134217728,134217728,12,38,56,134217728
tracked-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,1576,1051,0,0,0,35116704,35115504,134217728,134217728,12,15,19,134217728
tracked-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,1250,770,0,0,0,35116704,35115504,134217728,134217728,12,13,29,134217728
tracked-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,1184,705,0,0,0,35116704,35115504,134217728,134217728,12,14,30,134217728
tracked-jyut-warm-reload,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,763,709,0,0,0,0,38424055,134217728,134217728,12,14,28,134217728
tracked-jyut-warm-reload,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,671,625,0,0,0,0,38424049,134217728,134217728,12,14,26,134217728
tracked-jyut-warm-reload,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,672,620,0,0,0,0,38424055,134217728,134217728,12,17,19,134217728
tracked-jyut-warm-new-page,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,724,621,0,0,0,0,35115498,134217728,134217728,12,13,32,134217728
tracked-jyut-warm-new-page,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,800,692,0,0,0,0,35115504,134217728,134217728,12,13,18,134217728
tracked-jyut-warm-new-page,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,768,661,0,0,0,0,35115504,134217728,134217728,12,15,41,134217728
tracked-mock-cold,0,luna_pinyin,luna_pinyin,mock-worker-cold,false,510,0,0,0,0,747900,746700,0,0,0,13,13,0
tracked-mock-cold,1,luna_pinyin,luna_pinyin,mock-worker-cold,false,482,0,0,0,0,747906,746706,0,0,0,15,15,0
tracked-mock-cold,2,luna_pinyin,luna_pinyin,mock-worker-cold,false,472,0,0,0,0,747906,746706,0,0,0,12,12,0
tracked-mock-warm,0,luna_pinyin,luna_pinyin,mock-worker-warm,false,302,0,0,0,0,747900,746700,0,0,0,13,13,0
tracked-mock-warm,1,luna_pinyin,luna_pinyin,mock-worker-warm,false,314,0,0,0,0,747906,746706,0,0,0,14,14,0
tracked-mock-warm,2,luna_pinyin,luna_pinyin,mock-worker-warm,false,317,0,0,0,0,747906,746706,0,0,0,14,14,0
public-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,true,777,307,2,20,0,5705484,5704284,134217728,134217728,12,21,53,134217728
public-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,true,799,315,2,20,0,5705478,5704278,134217728,134217728,12,38,89,134217728
public-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,true,762,287,2,20,0,5705484,5704284,134217728,134217728,12,31,63,134217728
public-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,1290,808,1,36,0,35116644,35115444,134217728,134217728,12,13,30,134217728
public-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,1263,778,1,36,0,35116644,35115444,134217728,134217728,12,13,30,134217728
public-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,1243,746,1,36,0,35116644,35115444,134217728,134217728,12,14,21,134217728
