"engine","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"yune","startup_warm_shared_assets_runtime_ready","","0","1","3141449.800","3141449.800","14938112","234102784","20856832","256454656"
"yune","startup_warm_shared_assets_runtime_ready","","1","1","3078713.300","3078713.300","20676608","239116288","21094400","259657728"
"yune","startup_warm_shared_assets_runtime_ready","","2","1","2875693.300","2875693.300","21094400","239644672","20873216","260706304"
"yune","startup_warm_shared_assets_runtime_ready","","3","1","2856234.700","2856234.700","20873216","239747072","20758528","260706304"
"yune","startup_warm_shared_assets_runtime_ready","","4","1","2971595.200","2971595.200","20758528","239935488","21000192","260935680"
"yune","startup_warm_shared_assets_runtime_ready","","5","1","2836972.900","2836972.900","21000192","239931392","69615616","260935680"
"yune","startup_warm_shared_assets_runtime_ready","","6","1","2881852.700","2881852.700","68517888","240001024","20779008","261087232"
"yune","startup_warm_shared_assets_runtime_ready","","7","1","2840292.100","2840292.100","20779008","240300032","69087232","261500928"
"yune","startup_warm_shared_assets_runtime_ready","","8","1","2914918.000","2914918.000","69087232","240652288","70819840","261500928"
"yune","session_create_select_destroy","","0","1","2949369.500","2949369.500","69525504","78487552","0","261709824"
"yune","session_create_select_destroy","","1","1","2942778.800","2942778.800","78487552","72265728","0","262225920"
"yune","session_create_select_destroy","","2","1","3027234.700","3027234.700","72265728","21721088","0","262225920"
"yune","session_create_select_destroy","","3","1","3019018.400","3019018.400","21721088","76042240","0","262225920"
"yune","session_create_select_destroy","","4","1","3006721.600","3006721.600","76042240","81326080","0","262225920"
"yune","session_create_select_destroy","","5","1","3024567.900","3024567.900","81326080","79904768","0","262516736"
"yune","session_create_select_destroy","","6","1","2985364.000","2985364.000","79904768","81874944","0","262516736"
"yune","session_create_select_destroy","","7","1","2966814.700","2966814.700","81874944","83353600","0","262516736"
"yune","session_create_select_destroy","","8","1","2977826.400","2977826.400","83353600","86372352","0","262516736"
"yune","key_sequence_process_with_context","ni","0","2","5640.600","2820.300","241577984","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","1","2","5660.500","2830.250","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","2","2","5619.300","2809.650","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","3","2","5651.100","2825.550","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","4","2","5615.400","2807.700","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","5","2","5562.500","2781.250","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","6","2","5661.600","2830.800","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","7","2","5549.500","2774.750","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","8","2","5560.200","2780.100","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","9","2","5550.200","2775.100","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","10","2","5623.800","2811.900","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","11","2","5623.300","2811.650","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","12","2","5578.100","2789.050","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","13","2","6434.300","3217.150","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","14","2","5673.300","2836.650","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","15","2","5589.700","2794.850","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","16","2","5582.900","2791.450","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","17","2","5550.900","2775.450","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","18","2","5567.400","2783.700","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","19","2","5579.800","2789.900","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","20","2","5540.300","2770.150","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","21","2","5542.100","2771.050","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","22","2","5576.700","2788.350","241582080","241582080","0","262516736"
"yune","key_sequence_process_with_context","ni","23","2","5534.300","2767.150","241582080","241582080","0","262516736"
