scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,firstKeyMedianMs,firstKeyP95Ms
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,867,266,0,0,0,5451094,5449894,44,163
tracked-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,false,839,249,0,0,0,5451094,5449894,87,155
tracked-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,false,836,252,0,0,0,5451094,5449894,67,169
tracked-luna-cold,3,luna_pinyin,luna_pinyin,real-worker-cold,false,859,253,0,0,0,5451094,5449894,42,102
tracked-luna-cold,4,luna_pinyin,luna_pinyin,real-worker-cold,false,846,256,0,0,0,5451094,5449894,88,153
tracked-luna-cold,5,luna_pinyin,luna_pinyin,real-worker-cold,false,850,242,0,0,0,5451094,5449894,98,231
tracked-luna-cold,6,luna_pinyin,luna_pinyin,real-worker-cold,false,843,242,0,0,0,5451094,5449894,87,170
tracked-luna-cold,7,luna_pinyin,luna_pinyin,real-worker-cold,false,932,316,0,0,0,5451094,5449894,68,179
tracked-luna-cold,8,luna_pinyin,luna_pinyin,real-worker-cold,false,858,250,0,0,0,5451094,5449894,49,235
tracked-luna-cold,9,luna_pinyin,luna_pinyin,real-worker-cold,false,835,236,0,0,0,5451094,5449894,86,186
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,268,203,0,0,0,0,5468922,89,138
tracked-luna-warm-reload,1,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,266,207,0,0,0,0,5449894,55,139
tracked-luna-warm-reload,2,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,252,200,0,0,0,0,5449882,90,157
tracked-luna-warm-reload,3,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,268,203,0,0,0,0,5449894,71,137
tracked-luna-warm-reload,4,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,267,203,0,0,0,0,5468922,90,187
tracked-luna-warm-reload,5,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,266,202,0,0,0,0,5449894,90,138
tracked-luna-warm-reload,6,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,270,205,0,0,0,0,5449894,89,138
tracked-luna-warm-reload,7,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,268,204,0,0,0,0,5449894,88,220
tracked-luna-warm-reload,8,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,267,204,0,0,0,0,5449894,54,135
tracked-luna-warm-reload,9,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,268,208,0,0,0,0,5449894,71,105
tracked-luna-warm-reload,10,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,268,202,0,0,0,0,5449894,89,205
tracked-luna-warm-reload,11,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,252,200,0,0,0,0,5449894,88,140
tracked-luna-warm-reload,12,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,252,202,0,0,0,0,5449894,48,215
tracked-luna-warm-reload,13,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,267,209,0,0,0,0,5449894,72,137
tracked-luna-warm-reload,14,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,266,205,0,0,0,0,5449894,87,139
tracked-luna-warm-reload,15,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,268,208,0,0,0,0,5449894,86,172
tracked-luna-warm-reload,16,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,251,200,0,0,0,0,5449894,90,188
tracked-luna-warm-reload,17,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,251,201,0,0,0,0,5449894,88,157
tracked-luna-warm-reload,18,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,265,204,0,0,0,0,5449894,54,119
tracked-luna-warm-reload,19,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,251,201,0,0,0,0,5449894,88,204
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,306,208,0,0,0,0,5449894,90,173
tracked-luna-warm-new-page,1,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,306,204,0,0,0,0,5449894,88,222
tracked-luna-warm-new-page,2,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,307,209,0,0,0,0,5449894,90,219
