event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5308416,5.1,806912,0.8,5308416,5.1,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6639616,6.3,1048576,1,6639616,6.3,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6832128,6.5,1048576,1,6832128,6.5,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6840320,6.5,1048576,1,6840320,6.5,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",12193792,11.6,2498560,2.4,84717568,80.8,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",13467648,12.8,3096576,3,84717568,80.8,408455,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16953344,16.2,6606848,6.3,84717568,80.8,3876352,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16953344,16.2,6647808,6.3,84717568,80.8,3876556,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",20549632,19.6,10248192,9.8,84717568,80.8,7469029,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",45432832,43.3,25292800,24.1,84717568,80.8,17211222,16.4,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",56934400,54.3,25292800,24.1,84717568,80.8,17211382,16.4,62833086,59.9,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",56934400,54.3,25292800,24.1,84717568,80.8,17211560,16.4,62833086,59.9,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",74043392,70.6,39424000,37.6,84717568,80.8,29002378,27.7,62833086,59.9,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",53649408,51.2,18919424,18,84717568,80.8,12201257,11.6,62833086,59.9,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",59711488,56.9,24461312,23.3,84717568,80.8,16916187,16.1,62833086,59.9,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",60870656,58.1,25063424,23.9,84717568,80.8,16968576,16.2,62833086,59.9,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",60973056,58.1,25063424,23.9,84717568,80.8,16969901,16.2,62833086,59.9,,,""
17,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",60973056,58.1,25071616,23.9,84717568,80.8,16972668,16.2,62833086,59.9,,,""
18,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",60973056,58.1,25071616,23.9,84717568,80.8,16972872,16.2,62833086,59.9,,,""
19,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",62238720,59.4,26337280,25.1,84717568,80.8,18235911,17.4,62833086,59.9,,,""
20,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",69271552,66.1,32833536,31.3,84717568,80.8,23161114,22.1,62833086,59.9,,,""
21,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=62158:lookup_records=70807",73318400,69.9,32833536,31.3,84717568,80.8,23161274,22.1,62833086,59.9,,,""
22,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",73318400,69.9,32833536,31.3,84717568,80.8,23161452,22.1,62833086,59.9,,,""
23,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",77844480,74.2,36802560,35.1,84717568,80.8,26673798,25.4,62833086,59.9,,,""
24,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",70262784,67,29020160,27.7,84717568,80.8,20485163,19.5,62833086,59.9,,,""
25,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",71778304,68.5,30789632,29.4,84717568,80.8,21486309,20.5,62833086,59.9,,,""
26,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",71819264,68.5,30810112,29.4,84717568,80.8,21524041,20.5,62833086,59.9,,,""
27,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",72044544,68.7,31518720,30.1,84717568,80.8,21524898,20.5,62833086,59.9,,,""
28,"m47:phase:after_create_session",72257536,68.9,31535104,30.1,84717568,80.8,21316010,20.3,62833086,59.9,,,""
29,"m47:phase:after_select_schema",72335360,69,31600640,30.1,84717568,80.8,21316137,20.3,62833086,59.9,,,""
30,"m47:phase:after_typing_neihoumaa",72818688,69.4,31617024,30.2,84717568,80.8,21366731,20.4,62833086,59.9,,,""
31,"m47:phase:steady_after_esc",72818688,69.4,31617024,30.2,84717568,80.8,21365845,20.4,62833086,59.9,,,""
