path,git_blob_sha1,byte_size,packet,removal_class,retained_summary_pointer,recovery_commit
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/after/samples.csv,6ca90ad7318875a27d1e0bdfcf4447d96539c7cd,1635,yune-web-wasm-heap-optimization,retain-fixture,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/attribution/final-attribution/samples.csv,19ec9b5f47f6cc7f360c625ea990f014367f886e,6996,yune-web-wasm-heap-optimization,retain-fixture,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/attribution/post-m45-baseline-attribution/samples.csv,94896f391393c82e446cbee3a02c5b3e59e2a00d,6994,yune-web-wasm-heap-optimization,retain-fixture,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/final/samples.csv,d0f88606a8c0e0a63ea37e04874a7404c2c74399,4427,yune-web-wasm-heap-optimization,retain-fixture,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/initial-memory-50331648-post-m45/samples.csv,a1f29e36aad2dd80931a8738ba045a3b5f9c22b5,4425,yune-web-wasm-heap-optimization,retain-fixture,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/initial-memory-67108864-post-m45/samples.csv,ecc0ab4e90afc46da7efe5b2481346ada6075e2c,4423,yune-web-wasm-heap-optimization,retain-fixture,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
apps/yune-web/e2e/results/yune-web-wasm-heap-optimization/post-m43-baseline/samples.csv,58c8e3ce4e78ade03caca05988312c835baee667,4366,yune-web-wasm-heap-optimization,retain-fixture,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/m37_metrics.csv,584f0a8ff9b64c3d487d5855389e727d926b2431,602564,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/samples.csv,663539d73ab1b1807621f502294a4ac9cb153cf4,387962,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/startup_session_trace.csv,65dd0289ed7bb13013b6db139f5e1d99b4122d9e,349488,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-librime-1.17.0/m37_metrics.csv,f3e42be3964c6e58dc9df7172cf232634d3275c0,3793,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-librime-1.17.0/samples.csv,72cc7f446d2d2800d0bf6cc29ffa11836cd7ed91,148062,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-librime-1.17.0/startup_session_trace.csv,fcffa999468203c59321d9c749133d6959534c33,135,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-yune/m37_metrics.csv,949f07d42e0ceae749791dd5b489eb93b88ef299,308705,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-yune/rsmarisa-luna_pinyin-string-table.marisa,eb1585d9c76639794961dbee43f3ef728387fc72,1574520,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-yune/samples.csv,e90062e4a29c3bed57a81af7ece23017d05b0492,145702,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-a-yune/startup_session_trace.csv,15526ed57b56176e53ecbb816d383d0710117a05,106459,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-b-yune-product/m37_metrics.csv,2ae6f0f1d096a42007f92ac24f9d14d2c2f65ced,76027,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-b-yune-product/samples.csv,f90596bfdfb0a553f5ad6c57863d12a0681f32dd,35269,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-28/native-current-benchmark/track-b-yune-product/startup_session_trace.csv,04f345c1ed6bea3870089de3399a178dd11020eb,190265,current-performance-dashboard-2026-06-28,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-29/native-current-benchmark/m37_metrics.csv,f86109875652cecd5466da13a40acc364d30537b,552763,current-performance-dashboard-2026-06-29,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-29/native-current-benchmark/samples.csv,18c83664ce39f19e21a6851ed2ca43c0cbee54ec,350679,current-performance-dashboard-2026-06-29,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/current-performance-dashboard-2026-06-29/native-current-benchmark/startup_session_trace.csv,2b2a137935cde188459265a5d1491abb917e1b62,349408,current-performance-dashboard-2026-06-29,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m33-2026-06-23/after-low-risk-yune-vs-librime/librime-1.17.0/results/samples.csv,8dae3745d5f1019f0c06593ed8389f0b84b78e8c,9852,m33-2026-06-23,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m33-2026-06-23/after-low-risk-yune-vs-librime/samples.csv,57f04078a1f362a6d6e508239cf2d4f34e6e63e4,23267,m33-2026-06-23,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m33-2026-06-23/after-low-risk-yune-vs-librime/yune/results/samples.csv,38b391e60e49fe77d7c29cba602ea7fc02c1ba64,9486,m33-2026-06-23,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m33-2026-06-23/before-yune-vs-librime/librime-1.17.0/results/samples.csv,a017ef427c188ee63a3a32feff32959daf7ccb62,9852,m33-2026-06-23,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
docs/reports/evidence/m33-2026-06-23/before-yune-vs-librime/samples.csv,961a624e0fb2e18896660edb7f17703c05b19ec7,23302,m33-2026-06-23,archive-remove,docs/ledgers/milestone-history.md,9ee0b98d2c6d1e6fa339f50141860994a8a7b2f6
