path,exists,bytes,header
jyut6ping3.table.bin,true,15248410,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
jyut6ping3.reverse.bin,true,3592525,Rime::Reverse/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
jyut6ping3_mobile.prism.bin,true,32140173,Rime::Prism/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
jyut6ping3_scolar.table.bin,true,12478870,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
jyut6ping3_scolar.reverse.bin,true,89,Rime::Reverse/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
jyut6ping3_scolar.prism.bin,true,320,Rime::Prism/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
luna_pinyin_yune_reverse.table.bin,true,4640555,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
luna_pinyin_yune_reverse.reverse.bin,true,1263091,Rime::Reverse/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
luna_pinyin_yune_reverse.prism.bin,true,2039301,Rime::Prism/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
cangjie5.table.bin,true,3092147,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
cangjie5.reverse.bin,true,663901,Rime::Reverse/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
cangjie5.prism.bin,true,516416,Rime::Prism/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
luna_pinyin.table.bin,true,4640486,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
luna_pinyin.reverse.bin,true,1263091,Rime::Reverse/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
luna_pinyin.prism.bin,true,2149733,Rime::Prism/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
stroke.table.bin,true,17248974,Rime::Table/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
stroke.reverse.bin,true,4417332,Rime::Reverse/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
stroke.prism.bin,true,3670336,Rime::Prism/4.0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0
