"kind","workload","input","metric","observed","ceiling","unit","status","notes"
"latency_ratio","key_sequence_process_with_context","n","yune_librime_median_ratio","2.838","2.890","x","pass","M55 corrective per-key re-baseline 2026-07-04: benchmark reads context after every keypress; ceiling = worst of run-b/run-c owned-default x 1.05. Not comparable to batch-shaped pre-corrective ratios."
"latency_ratio","key_sequence_process_with_context","ni","yune_librime_median_ratio","2.565","2.666","x","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.05."
"latency_ratio","key_sequence_process_with_context","hao","yune_librime_median_ratio","1.669","1.731","x","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.05."
"latency_ratio","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","1.990","2.094","x","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.05; honest interactive 37-char row (owned default; byte-backed opt-in measures 4.619x, run-a)."
"latency_ratio","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","1.571","1.625","x","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.05; honest interactive 59-char row (owned default; byte-backed opt-in measures 3.227x, run-a)."
"memory_peak","","","track_a_peak_working_set_bytes","186204160","195028378","bytes","pass","M55 corrective re-baseline 2026-07-04: owned default holds the latency ceilings, so Track A peak returns to the owned-path level; worst of run-b/run-c x 1.05. Byte-backed opt-in (YUNE_POET_BYTE_BACKED=1) measures ~113.2 MB (run-a) but fails the long-row latency ceilings; a future scratch-port milestone may reclaim it."
"latency_ratio","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","0.270","0.323","x","pass","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","0.386","0.474","x","pass","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","0.560","0.695","x","pass","M55 corrective per-key re-baseline 2026-07-04 win-row ceiling: min(0.95x, worst of run-b/run-c x 1.20); must remain <1.00x."
"latency_ratio","startup_warm_shared_assets_runtime_ready","","yune_librime_median_ratio","0.706","1.091","x","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c x 1.15 (startup ratio is historically run-noisy); no config cache - measures real schema application."
"latency_absolute_us","session_create_select_destroy","","median_us","22860.200","25470.280","us","pass","M55 corrective per-key re-baseline 2026-07-04: worst of run-b/run-c Yune median x 1.10; no config cache."
"latency_absolute_us","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_us","269.274","347.975","us","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_working_set_bytes","80166912","88012390","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","max_peak_working_set_bytes","511213568","562033050","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; deploy/compile transient peak; regression guard only."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_private_bytes","35962880","39460045","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
"latency_absolute_us","track-b-product/session_create_select_destroy","","median_us","35081.300","39289.800","us","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; Track B session improved ~3x vs the Phase 0 baseline through the landed M55 work; regression guard only."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_working_set_bytes","61288448","66872115","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","max_peak_working_set_bytes","511213568","562033050","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_private_bytes","29794304","32084378","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
"latency_absolute_us","track-b-product/startup_warm_shared_assets_runtime_ready","","median_us","34262.400","38825.050","us","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; Track B startup improved ~3x vs the Phase 0 baseline through the landed M55 work; regression guard only."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_working_set_bytes","78307328","86196634","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","max_peak_working_set_bytes","511213568","562033050","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_private_bytes","34332672","37865062","bytes","pass","M55 corrective re-baseline 2026-07-04: worst of run-b/run-c x 1.10; regression guard only."
