engine,track,schema_id,dictionary_id,prism_id,source_path,table_path,prism_path,reverse_path,source_checksum,table_checksum,checksum_status,table_parse,prism_parse,reverse_parse,compiled_ready
yune,track-b-product,jyut6ping3_mobile,jyut6ping3,jyut6ping3_mobile,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\shared\jyut6ping3.dict.yaml,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\user\build\jyut6ping3.table.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\user\build\jyut6ping3_mobile.prism.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\user\build\jyut6ping3.reverse.bin,0xd6ef357e,0xd6ef357e,fresh,ok,ok,ok,true
yune,track-b-product,jyut6ping3_mobile,jyut6ping3_scolar,jyut6ping3_scolar,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\shared\jyut6ping3_scolar.dict.yaml,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\user\build\jyut6ping3_scolar.table.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\user\build\jyut6ping3_scolar.prism.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-b-yune-product\user\build\jyut6ping3_scolar.reverse.bin,0x9618cf8a,0x9618cf8a,fresh,ok,ok,ok,true
